Date,Company,Path,SpecificDate,Children
2011Q1,MCD,/pure_articles/MCD/2011-04-22T17:40:15-04:00_McDonald's' CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-22T17:40:15-04:00,FALSE
2011Q1,MRK,/pure_articles/MRK/2011-04-29T13:40:20-04:00_Merck & Co.'s CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-29T13:40:20-04:00,FALSE
2011Q1,MS,/pure_articles/MS/2011-04-21T15:20:30-04:00_Morgan Stanley's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-21T15:20:30-04:00,FALSE
2011Q1,MSFT,,,FALSE
2011Q1,NFLX,/pure_articles/NFLX/2011-04-25T20:40:31-04:00_Netflix's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-25T20:40:31-04:00,FALSE
2011Q1,NKE,,,FALSE
2011Q1,NVDA,,,FALSE
2011Q1,ORCL,,,FALSE
2011Q1,PEP,/pure_articles/PEP/2011-04-28T14:50:21-04:00_Pepsico's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-28T14:50:21-04:00,FALSE
2011Q1,PFE,/pure_articles/PFE/2011-05-03T15:40:23-04:00_Pfizer's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-05-03T15:40:23-04:00,FALSE
2011Q1,PG,,,FALSE
2011Q1,QCOM,/pure_articles/QCOM/2011-01-26T22:05:26-05:00_QUALCOMM Incorporated's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-01-26T22:05:26-05:00,FALSE
2011Q1,T,/pure_articles/T/2011-04-20T16:10:24-04:00_AT&T's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-20T16:10:24-04:00,FALSE
2011Q1,T,/pure_articles/T/2011-05-05T22:20:13-04:00_DIRECTV's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-05-05T22:20:13-04:00,TRUE
2011Q1,TMO,/pure_articles/TMO/2011-04-27T15:20:23-04:00_Thermo Fisher Scientific's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-27T15:20:23-04:00,FALSE
2011Q1,TMO,/pure_articles/TMO/2011-04-26T22:10:14-04:00_Life Technologies' CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-26T22:10:14-04:00,TRUE
2011Q1,TSLA,,,FALSE
2011Q1,UNH,/pure_articles/UNH/2011-04-21T14:00:18-04:00_Unitedhealth Group's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-21T14:00:18-04:00,FALSE
2011Q1,UPS,/pure_articles/UPS/2011-04-26T14:50:20-04:00_United Parcel Service's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-26T14:50:20-04:00,FALSE
2011Q1,V,/pure_articles/V/2011-02-02T20:40:10-05:00_Visa's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-02-02T20:40:10-05:00,FALSE
2011Q1,VZ,/pure_articles/VZ/2011-04-21T13:10:21-04:00_Verizon Communications Management Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-21T13:10:21-04:00,FALSE
2011Q1,WFC,/pure_articles/WFC/2011-04-20T16:20:28-04:00_Wells Fargo &'s CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-20T16:20:28-04:00,FALSE
2011Q1,WMT,,,FALSE
2011Q1,XOM,/pure_articles/XOM/2011-04-28T15:50:16-04:00_Exxon Mobil Management Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-28T15:50:16-04:00,FALSE
2011Q2,AAPL,/pure_articles/AAPL/2011-04-20T22:00:22-04:00_Apple Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-04-20T22:00:22-04:00,FALSE
2011Q2,ABBV,,,FALSE
2011Q2,ABT,/pure_articles/ABT/2011-07-20T14:20:08-04:00_Abbott Laboratories Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-20T14:20:08-04:00,FALSE
2011Q2,ACN,/pure_articles/ACN/2011-03-24T20:40:16-04:00_Accenture plc's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-03-24T20:40:16-04:00,FALSE
2011Q2,ADBE,/pure_articles/ADBE/2011-06-22T01:30:18-04:00_Adobe Systems' CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-06-22T01:30:18-04:00,FALSE
2011Q2,AMD,/pure_articles/AMD/2011-07-21T22:10:07-04:00_Advanced Micro Devices' CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-21T22:10:07-04:00,FALSE
2011Q2,AMZN,/pure_articles/AMZN/2011-07-26T20:40:08-04:00_Amazon.com Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-26T20:40:08-04:00,FALSE
2011Q2,AMZN,"/pure_articles/AMZN/2011-07-27T23:38:49-04:00_Whole Foods Market, Inc. CEO Discusses F2Q11 Results - Earnings Call Transcript.html",2011-07-27T23:38:49-04:00,TRUE
2011Q2,AMZN,/pure_articles/AMZN/2011-05-05T03:50:43-04:00_Whole Foods Market's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-05-05T03:50:43-04:00,TRUE
2011Q2,AVGO,/pure_articles/AVGO/2011-07-25T21:10:07-04:00_Broadcom's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-25T21:10:07-04:00,TRUE
2011Q2,BAC,/pure_articles/BAC/2011-07-19T17:40:08-04:00_Bank of America's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-19T17:40:08-04:00,FALSE
2011Q2,CMCSA,/pure_articles/CMCSA/2011-08-03T12:30:09-04:00_Comcast's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-08-03T12:30:09-04:00,FALSE
2011Q2,COST,/pure_articles/COST/2011-03-03T00:50:16-05:00_Costco Wholesale Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-03-03T00:50:16-05:00,FALSE
2011Q2,CRM,,,FALSE
2011Q2,CSCO,/pure_articles/CSCO/2011-02-10T00:50:16-05:00_Cisco Systems' CEO Discusses F2Q11 Results - Earnings Call Transcript.html,2011-02-10T00:50:16-05:00,FALSE
2011Q2,CVX,/pure_articles/CVX/2011-07-29T15:20:12-04:00_Chevron Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-29T15:20:12-04:00,FALSE
2011Q2,CVX,/pure_articles/CVX/2011-07-28T15:30:14-04:00_Noble Energy's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-28T15:30:14-04:00,TRUE
2011Q2,DHR,/pure_articles/DHR/2011-07-21T13:20:09-04:00_Danaher's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-21T13:20:09-04:00,FALSE
2011Q2,DIS,/pure_articles/DIS/2011-05-10T22:20:12-04:00_Walt Disney's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-05-10T22:20:12-04:00,FALSE
2011Q2,FB,,,FALSE
2011Q2,GOOG,/pure_articles/GOOG/2011-07-14T22:50:12-04:00_Google's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-14T22:50:12-04:00,FALSE
2011Q2,GOOG,/pure_articles/GOOG/2011-07-28T23:42:48-04:00_Motorola Mobility Holdings' CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-28T23:42:48-04:00,TRUE
2011Q2,GOOGL,,,FALSE
2011Q2,HD,/pure_articles/HD/2011-08-16T13:10:08-04:00_The Home Depot's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-08-16T13:10:08-04:00,FALSE
2011Q2,INTC,/pure_articles/INTC/2011-07-19T22:10:09-04:00_Altera's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-19T22:10:09-04:00,TRUE
2011Q2,INTC,/pure_articles/INTC/2011-07-20T22:10:06-04:00_Intel's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-20T22:10:06-04:00,FALSE
2011Q2,JNJ,/pure_articles/JNJ/2011-07-19T09:20:19-04:00_Johnson & Johnson Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-19T09:20:19-04:00,FALSE
2011Q2,JPM,/pure_articles/JPM/2011-07-14T16:10:27-04:00_JPMorgan Chase & Co. Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-14T16:10:27-04:00,FALSE
2011Q2,KO,/pure_articles/KO/2011-07-19T13:50:09-04:00_The Coca-Cola's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-19T13:50:09-04:00,FALSE
2011Q2,LLY,/pure_articles/LLY/2011-07-21T17:20:15-04:00_Eli Lilly & Co. Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-21T17:20:15-04:00,FALSE
2011Q2,MA,/pure_articles/MA/2011-08-03T15:30:09-04:00_Mastercard Incorporated's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-08-03T15:30:09-04:00,FALSE
2011Q2,MCD,/pure_articles/MCD/2011-07-22T15:40:13-04:00_McDonald's Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-22T15:40:13-04:00,FALSE
2011Q2,MRK,/pure_articles/MRK/2011-07-29T12:10:06-04:00_Merck & Co.'s CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-29T12:10:06-04:00,FALSE
2011Q2,MS,/pure_articles/MS/2011-07-21T17:10:12-04:00_Morgan Stanley's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-21T17:10:12-04:00,FALSE
2011Q2,MSFT,/pure_articles/MSFT/2011-08-04T23:22:40-04:00_LinkedIn CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-08-04T23:22:40-04:00,TRUE
2011Q2,MSFT,/pure_articles/MSFT/2011-01-27T21:05:14-05:00_Microsoft Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-01-27T21:05:14-05:00,FALSE
2011Q2,NFLX,/pure_articles/NFLX/2011-07-25T20:50:08-04:00_Netflix's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-25T20:50:08-04:00,FALSE
2011Q2,NKE,,,FALSE
2011Q2,NVDA,,,FALSE
2011Q2,ORCL,,,FALSE
2011Q2,PEP,/pure_articles/PEP/2011-07-21T12:50:09-04:00_Pepsico's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-21T12:50:09-04:00,FALSE
2011Q2,PFE,/pure_articles/PFE/2011-08-02T15:40:08-04:00_Pfizer's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-08-02T15:40:08-04:00,FALSE
2011Q2,PG,/pure_articles/PG/2011-01-27T15:05:17-05:00_Procter & Gamble's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-01-27T15:05:17-05:00,FALSE
2011Q2,QCOM,/pure_articles/QCOM/2011-04-20T22:40:19-04:00_QUALCOMM Incorporated's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-04-20T22:40:19-04:00,FALSE
2011Q2,T,/pure_articles/T/2011-08-04T21:20:15-04:00_DIRECTV's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-08-04T21:20:15-04:00,TRUE
2011Q2,T,/pure_articles/T/2011-07-21T13:10:09-04:00_AT&T Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-21T13:10:09-04:00,FALSE
2011Q2,TMO,/pure_articles/TMO/2011-07-27T12:40:09-04:00_Thermo Fisher Scientific's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-27T12:40:09-04:00,FALSE
2011Q2,TMO,/pure_articles/TMO/2011-07-28T18:10:13-04:00_Life Technologies' CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-28T18:10:13-04:00,TRUE
2011Q2,TSLA,/pure_articles/TSLA/2011-08-03T22:54:50-04:00_Tesla Motors CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-08-03T22:54:50-04:00,FALSE
2011Q2,UNH,/pure_articles/UNH/2011-07-19T14:30:10-04:00_Unitedhealth Group's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-19T14:30:10-04:00,FALSE
2011Q2,UPS,/pure_articles/UPS/2011-07-26T15:30:10-04:00_United Parcel Service's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-26T15:30:10-04:00,FALSE
2011Q2,V,/pure_articles/V/2011-05-05T21:40:13-04:00_Visa's CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-05-05T21:40:13-04:00,FALSE
2011Q2,VZ,/pure_articles/VZ/2011-07-22T11:30:14-04:00_Verizon Communications Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-22T11:30:14-04:00,FALSE
2011Q2,WFC,/pure_articles/WFC/2011-07-19T14:00:13-04:00_Wells Fargo &'s CEO Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-19T14:00:13-04:00,FALSE
2011Q2,WMT,,,FALSE
