Unnamed: 0,Ticker,Quarter,Date,Total_Words,Sum,Mean,Median,Std,%Positive,%Negative,%Neutral,Flesch score,Polysyllable number per sentence
419,ABT,2013Q2,2013-07-17,6964,1149.0,0.16499138426191845,0.0,0.6221791028792505,10.209649626651348,1.4215967834577827,88.36875358989089,40.39,4.69
467,ABT,2013Q3,2013-10-16,7618,1379.0,0.18101864006300866,0.0,0.6413782520044963,11.302179049619324,1.3783145182462588,87.31950643213442,45.79,4.03
513,ABT,2013Q4,2014-01-22,7440,1314.0,0.17661290322580644,0.0,0.6316399561190107,11.155913978494622,1.5591397849462365,87.28494623655914,47.9,4.19
563,ABT,2014Q1,2014-04-16,7283,1343.0,0.18440203212961687,0.0,0.6355472927180531,11.135521076479472,1.2220238912536043,87.64245503226692,50.85,3.86
606,ABT,2014Q2,2014-07-16,6057,1059.0,0.1748390292223873,0.0,0.6116770842192155,10.450718177315503,1.0566286940729734,88.49265312861151,39.7,4.75
650,ABT,2014Q3,2014-10-22,6011,1019.0,0.16952254200632175,0.0,0.6272057953864374,10.43087672600233,1.1978040259524203,88.37131924804525,38.26,5.12
703,ABT,2014Q4,2015-01-29,7272,1341.0,0.1844059405940594,0.0,0.6371473647126392,10.987348734873487,1.1276127612761275,87.88503850385038,24.79,8.09
748,ABT,2015Q1,2015-04-22,6533,1211.0,0.18536660033675187,0.0,0.6700349872266153,11.34241542935864,1.4082351140364304,87.24934945660493,39.93,4.54
792,ABT,2015Q2,2015-07-22,5879,983.0,0.16720530702500425,0.0,0.6171305779607831,10.409933662187447,1.2587174689573055,88.33134886885527,51.67,3.58
837,ABT,2015Q3,2015-10-21,5342,1031.0,0.19299887682515912,0.0,0.6519336178252726,11.418944215649569,1.2542119056533134,87.32684387869713,54.94,3.23
887,ABT,2015Q4,2016-01-28,6527,992.0,0.15198406618660948,0.0,0.5912364141759029,9.070016853071856,1.1643940554619274,89.7655890914662,46.62,4.37
928,ABT,2016Q1,2016-04-20,4663,961.0,0.2060904996783187,0.0,0.6518539428488567,11.5805275573665,0.8578168561012224,87.56165558653227,56.46,2.81
978,ABT,2016Q2,2016-07-20,5459,864.0,0.15827074555779447,0.0,0.6195859791878228,9.433962264150944,1.4837882396043232,89.08224949624474,54.35,3.24
1021,ABT,2016Q3,2016-10-19,4487,802.0,0.17873857811455315,0.0,0.6271910609356129,10.363271673724093,1.0028972587474927,88.63383106752842,54.41,3.07
1074,ABT,2016Q4,2017-01-25,6231,1071.0,0.17188252286952335,0.0,0.6218227514255811,10.06259027443428,1.0431712405713371,88.89423848499437,49.43,4.36
1123,ABT,2017Q1,2017-04-19,5625,1009.0,0.17937777777777775,0.0,0.648338480186207,10.613333333333333,1.28,88.10666666666668,56.37,3.04
1167,ABT,2017Q2,2017-07-20,5188,836.0,0.16114109483423286,0.0,0.6120828934259198,9.425597532767927,1.002313030069391,89.57208943716269,50.75,3.43
1214,ABT,2017Q3,2017-10-18,5102,920.0,0.18032144257154056,0.0,0.6638662094260143,10.603684829478636,1.4700117600940807,87.92630341042728,51.31,3.56
1261,ABT,2017Q4,2018-01-24,6270,1241.0,0.19792663476874006,0.0,0.6807722063785255,11.690590111642745,1.4194577352472089,86.88995215311004,55.69,3.0
1308,ABT,2018Q1,2018-04-18,4649,842.0,0.1811142181114218,0.0,0.6558852179919261,11.07765110776511,1.5057001505700152,87.41664874166487,53.92,3.4
1358,ABT,2018Q2,2018-07-18,5726,1180.0,0.20607754104086626,0.0,0.6675024820877749,11.962975899406214,1.0478519035976248,86.98917219699615,55.24,3.15
1403,ABT,2018Q3,2018-10-17,5167,997.0,0.19295529320688987,0.0,0.6702319839040124,11.225082252757888,1.4128120766402168,87.36210567060188,64.77,2.39
1451,ABT,2018Q4,2019-01-23,5737,1062.0,0.18511417116960086,0.0,0.6705875915642378,10.841903433850444,1.359595607460345,87.79850095868919,55.93,3.36
